#id	length	8Cell_Ctrl_rep1	8Cell_Ctrl_rep2	8Cell_Ctrl_rep3	8Cell_siKlf5_rep1	8Cell_siKlf5_rep2	8Cell_siKlf5_rep3
0610005C13Rik	1122	577	690	605	621	395	578
0610007P14Rik	1185	424	561	506	632	505	561
0610009B22Rik	795	19	43	54	65	43	31
0610009L18Rik	619	2	4	7	4	1	10
0610009O20Rik	2404	66	81	68	64	90	81
0610010B08Rik	27229	0	0	0	0	1	2
0610010F05Rik	4140	83	74	117	90	124	107
0610010K14Rik	913	315	415	341	417	378	327
0610011F06Rik	811	88	152	113	99	154	85
0610012G03Rik	1471	671	792	756	687	588	522
0610030E20Rik	4634	676	773	734	867	633	766
0610031O16Rik	824	0	0	0	0	1	2
0610037L13Rik	1551	182	262	187	249	248	241
0610038B21Rik	1523	61	71	76	55	34	46
0610039H22Rik	730	0	0	2	2	0	2
0610039K10Rik	951	21	22	37	29	23	10
0610040B10Rik	440	7	7	13	4	1	0
0610040F04Rik	2393	0	3	0	4	2	4
0610040J01Rik	1870	70	124	82	134	104	73
0610043K17Rik	618	24	23	27	63	25	42
1010001N08Rik	999	161	183	204	141	157	191
1110001J03Rik	441	63	65	44	85	69	103
1110002L01Rik	3300	125	148	136	71	62	91
1110004E09Rik	1163	1461	1541	1666	2030	1675	1400
1110004F10Rik	1400	1436	1607	1490	1841	1556	1542
1110006O24Rik	768	1	15	8	6	6	11
1110007C09Rik	804	1	4	20	0	4	6
1110008F13Rik	1050	315	322	363	324	313	257
1110008L16Rik	3117	526	518	518	761	597	647
1110008P14Rik	657	142	242	208	162	112	75
1110012L19Rik	1057	157	131	140	78	112	89
1110015O18Rik	1533	0	0	0	0	0	0
1110017D15Rik	1290	17	6	5	3	1	8
1110019D14Rik	1498	33	10	43	108	76	80
1110020A21Rik	1220	13	18	12	18	11	4
1110025L11Rik	593	0	0	0	0	0	0
1110028F11Rik	2705	24	68	28	69	52	50
1110028F18Rik	1341	2	1	0	0	0	4
1110032A03Rik	1782	23	19	15	38	28	18
1110032F04Rik	2578	0	2	0	8	8	22
