Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
CP_EPI_E6-5_Nanog_rep1.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	64603726.0	pass	fail	fail	51.0	46.0588799371	CP_EPI_E6-5_Nanog_rep1.R1.fq.gz	warn	pass
CP_EPI_E6-5_Nanog_rep1.R2	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	64603726.0	pass	fail	fail	55.0	49.3736965127	CP_EPI_E6-5_Nanog_rep1.R2.fq.gz	pass	pass
CP_EPI_E6-5_Nanog_rep2.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	55420424.0	pass	warn	fail	49.0	46.0580872945	CP_EPI_E6-5_Nanog_rep2.R1.fq.gz	pass	pass
CP_EPI_E6-5_Nanog_rep2.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	55420424.0	pass	fail	fail	52.0	50.1840924843	CP_EPI_E6-5_Nanog_rep2.R2.fq.gz	pass	pass
CP_EPI_E6-5_Nanog_rep3.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	52775532.0	pass	fail	fail	50.0	49.1647538328	CP_EPI_E6-5_Nanog_rep3.R1.fq.gz	warn	pass
CP_EPI_E6-5_Nanog_rep3.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	52775532.0	pass	fail	fail	52.0	53.6301670026	CP_EPI_E6-5_Nanog_rep3.R2.fq.gz	pass	pass
CP_EPI_E6-5_Sox2_rep1.R1	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	60680628.0	pass	warn	fail	47.0	51.8756633009	CP_EPI_E6-5_Sox2_rep1.R1.fq.gz	pass	pass
CP_EPI_E6-5_Sox2_rep1.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	60680628.0	pass	fail	fail	51.0	56.8925318311	CP_EPI_E6-5_Sox2_rep1.R2.fq.gz	pass	pass
CP_EPI_E6-5_Sox2_rep2.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	59574354.0	pass	warn	fail	48.0	48.5980979585	CP_EPI_E6-5_Sox2_rep2.R1.fq.gz	warn	pass
CP_EPI_E6-5_Sox2_rep2.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	59574354.0	pass	fail	fail	51.0	53.3962631973	CP_EPI_E6-5_Sox2_rep2.R2.fq.gz	pass	pass
CP_EPI_E6-5_Sox2_rep3.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	70636185.0	pass	fail	fail	48.0	41.0198934875	CP_EPI_E6-5_Sox2_rep3.R1.fq.gz	pass	pass
CP_EPI_E6-5_Sox2_rep3.R2	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	70636185.0	pass	fail	fail	51.0	48.2271777956	CP_EPI_E6-5_Sox2_rep3.R2.fq.gz	pass	pass
CP_EXE_E6-5_Cdx2_rep1.R1	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	62448561.0	pass	fail	fail	48.0	51.8251826079	CP_EXE_E6-5_Cdx2_rep1.R1.fq.gz	warn	pass
CP_EXE_E6-5_Cdx2_rep1.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	62448561.0	pass	fail	fail	51.0	53.7728526831	CP_EXE_E6-5_Cdx2_rep1.R2.fq.gz	pass	pass
CP_EXE_E6-5_Cdx2_rep2.R1	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	50764519.0	pass	fail	fail	50.0	56.0124603156	CP_EXE_E6-5_Cdx2_rep2.R1.fq.gz	pass	pass
CP_EXE_E6-5_Cdx2_rep2.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	50764519.0	pass	fail	fail	54.0	59.9450461578	CP_EXE_E6-5_Cdx2_rep2.R2.fq.gz	pass	pass
CP_EXE_E6-5_Cdx2_rep3.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	58832760.0	pass	fail	fail	54.0	41.020963293	CP_EXE_E6-5_Cdx2_rep3.R1.fq.gz	warn	pass
CP_EXE_E6-5_Cdx2_rep3.R2	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	58832760.0	pass	fail	fail	61.0	47.5704244432	CP_EXE_E6-5_Cdx2_rep3.R2.fq.gz	warn	pass
CP_VE_E6-5_Gata6_rep1.R1	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	70783541.0	pass	warn	fail	48.0	36.1955493663	CP_VE_E6-5_Gata6_rep1.R1.fq.gz	pass	pass
CP_VE_E6-5_Gata6_rep1.R2	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	70783541.0	pass	fail	fail	52.0	43.367775462	CP_VE_E6-5_Gata6_rep1.R2.fq.gz	pass	pass
CP_VE_E6-5_Gata6_rep2.R1	warn	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	57688834.0	pass	fail	fail	52.0	31.9162737223	CP_VE_E6-5_Gata6_rep2.R1.fq.gz	warn	pass
CP_VE_E6-5_Gata6_rep2.R2	warn	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	57688834.0	pass	fail	fail	59.0	37.1433619712	CP_VE_E6-5_Gata6_rep2.R2.fq.gz	pass	pass
CP_VE_E6-5_Gata6_rep3.R1	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	55876296.0	pass	fail	fail	46.0	50.2213574829	CP_VE_E6-5_Gata6_rep3.R1.fq.gz	warn	pass
CP_VE_E6-5_Gata6_rep3.R2	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	fail	55876296.0	pass	fail	fail	49.0	53.9900897656	CP_VE_E6-5_Gata6_rep3.R2.fq.gz	pass	pass
