#plotPCA --outFileNameData
Component	ESC_IgG_10k_rep1	ESC_IgG_1k_rep1	ESC_IgG_1k_rep2	ESC_Nanog_100k_rep1	ESC_Nanog_10k_rep1	ESC_Nanog_1k_rep1	ESC_Nanog_1k_rep2	ESC_Nanog_5k_rep1	ESC_Sox2_100k_rep1	ESC_Sox2_10k_rep1	ESC_Sox2_10k_rep2	ESC_Sox2_1k_rep1	ESC_Sox2_1k_rep2	ESC_Sox2_1k_rep3	ESC_Sox2_1k_rep4	ESC_Sox2_5k_rep1	TSC_Cdx2_100k_rep1	TSC_Cdx2_100k_rep2	TSC_Cdx2_10k_rep1	TSC_Cdx2_10k_rep2	TSC_Cdx2_1k_rep1	TSC_Cdx2_1k_rep2	TSC_Cdx2_1k_rep3	TSC_Cdx2_1k_rep4	TSC_Cdx2_5k_rep1	TSC_Cdx2_5k_rep2	TSC_IgG_10k_rep1	TSC_IgG_1k_rep1	TSC_IgG_1k_rep2	Eigenvalue
1	-12.541653659758351	-9.124908655929131	-10.034983505126807	31.830845456049357	16.749943764241667	10.531340769596907	27.092767229814882	8.233591228169594	14.549580467771422	25.618014939957533	25.61803696777985	57.495378172541464	26.307427854854637	57.49532743485584	26.307527049247895	43.006274797075434	-26.862442301820774	-26.575765514605116	-26.26811843621349	-25.692481964440066	-26.134051839931267	-26.10201944662833	-26.077777563029507	-25.81715905618976	-26.18112026567021	-26.06538519937689	-25.800335995720125	-25.86122071449117	-25.69663201302547	22765.627264181538
2	-14.852954776961282	-13.370152072317444	-13.649559868083614	0.3171111653056146	-5.042503272190122	-7.273314509130127	-1.209109453129068	-8.235384940971073	-6.074664199158695	-2.01489056956718	-2.0148776203725083	10.681678708243751	-1.5015422516578683	10.68173285117473	-1.501570446827952	4.322562831914448	4.509310636522634	12.774923981166024	7.082290881956178	17.257182047728367	3.7907042036826613	2.8918123659895936	13.61789328853612	18.257137771996387	3.0942107304003157	15.222072029003868	-15.411050415732705	-16.308984694724074	-16.040064402796983	3104.86295569742
3	-2.5751319172903715	-2.7259596005347038	-3.483694116852078	17.305764085974094	10.871775336638596	8.113044382782821	13.31761947721843	7.659685782141627	-2.5901193874746378	-2.318033564842963	-2.318046951870113	-8.99855542287642	-5.425963939753045	-8.998552738521523	-5.426004379757368	-2.6165247608311595	-1.5657650563709804	0.7120245062347371	-0.6034033908714291	1.5585442655639319	-1.1170801616099473	-1.2528856056662758	0.8888748502880924	1.8121249442476834	-1.4158754438093615	0.9561042193148153	-3.4579590418498514	-3.1872568323844335	-3.1187495372381693	1038.2713840260033
4	-4.470832147243279	-7.516873840511769	-7.539218534513219	-0.8973668003498344	-0.3752971077951091	-0.6332791916939052	-1.8676378995301883	0.3278572591000961	5.042964641169285	6.369277691456846	6.369290534896045	-4.632841855994277	1.1745992643929966	-4.632866467356321	1.174537292188125	3.9771974512762194	0.30467816131655645	0.1290773027745794	0.31720259716537247	-0.5915585677840624	0.5817793861870113	0.4713314690915659	-0.14502947768616856	-0.6314384871543665	0.4276056540381532	-0.1442349792408573	2.1816301862496488	2.7037432119847105	2.525703253566136	326.5382990401915
5	1.7427413720670142	4.019214013628804	4.273092660449142	-1.2704428865773922	-1.3290301167083067	-0.5604266555079456	0.429957846257093	-1.8205086184422792	0.4920976104941414	1.4458894850442936	1.445880597546608	-5.3814182685046	3.853403506175443	-5.3813744172241815	3.8535234009859565	5.190925221022663	-0.5166810344213414	0.2739451503221324	-0.49843068554990727	0.789810551769989	-0.7620501474293085	-0.9081584561841762	0.711005298177782	1.477612711472973	-1.062262784579439	0.6212121180515688	-3.3885797282060635	-3.887811418243592	-3.8531363258870677	211.8974310767352
6	-2.9597683346857666	-2.486035493010292	-1.4365997877144852	-0.6444771743595474	0.508989326641893	1.8080537957909895	0.9665527300249719	0.3639780416867288	-1.059645019675846	-5.725310409550047	-5.72534312002508	-0.5182141067187771	5.394467223611209	-0.5182723926838921	5.39455828734882	2.1215974249979865	0.34873221795200915	-0.3581724259624147	-0.08854512622770913	-1.0864546525908725	0.48494385792039946	0.4500747774777478	0.18519465789039036	-0.044754415351043894	0.9399204746740304	-0.46757755322529465	1.0000357580751205	1.539850152998555	1.612221284690206	160.9207581251999
7	0.1487435793678032	-0.345461330222837	-0.5552532881279268	0.6767982697991259	0.6588100557598373	-0.37516616702185024	-0.7376779888038636	0.6176055816127174	-3.3655831734423756	2.116290023807572	2.116283955008927	-0.23592324390386787	3.2410944516950257	-0.23585353147999533	3.241185914053074	-5.856685405525546	0.2305007636063272	-0.2843553492968591	-0.08742809190652492	0.2010765582280655	0.3190787455192078	0.3051045972897789	-0.3203290235239652	-0.22460866241684285	0.13348327299411478	0.2021612201062625	-0.313902106252709	-0.6375979202507405	-0.6323917066719221	79.60843309631912
8	-0.5068446398089504	-0.19877999249964257	0.14229153149840335	-1.9820791833933786	0.04568769308245546	1.0482580773564085	1.8295672197050317	-0.1816436233522695	-5.7399686417545235	1.1792618892113689	1.1792852599643808	0.0505651612905976	-0.7991445117592648	0.05064450040743637	-0.7991113192910134	2.5735692088485775	0.277570812634229	-0.1676548223563229	0.17002506298984418	-0.3538813886463762	0.19412447615660308	0.23793647959173522	0.02317031828381025	-0.33987302024038146	0.4449371970822683	-0.290613901737777	0.6356415654915756	0.6697649537720672	0.6072936374731005	54.33423535717976
9	2.704288585468127	0.05402346831104582	-2.101553788917565	1.589495940650135	-0.35147508875315403	-0.9217057477371968	-0.26913505207218225	-0.9901720736340522	-0.645247055497304	-0.46918188502659763	-0.4691918154816999	-0.115021734356198	0.15202970526671927	-0.11494960478624261	0.15203858855921473	1.1606649603782264	0.737166270890618	-0.552021583401215	0.9933556746274134	1.5253212696599885	1.6909840903781101	1.4244975405129077	-1.65651599151572	-2.363662724197055	-0.05054417713180075	-0.18263993063464776	0.35807058585345014	-0.6032760419617703	-0.685642385451557	36.94074690360903
10	-1.7384769755697576	0.8297526721812201	0.9439951509666604	3.5493709108394285	-1.112890079551021	-2.179498889179997	-1.083704407074609	-1.0883227367466826	-1.1071490592487294	0.11006454977194799	0.11007196187055321	-0.05426101629915156	0.02955818530451128	-0.054215191387425116	0.029601387763868055	0.7409493965843857	0.6219152516594353	0.3447663827483525	-0.003870961711747764	-1.4180318163165302	-0.19054272279020168	0.044428371347035076	0.1614036246467408	0.4892703194886895	0.02275252927322652	-0.14080521120510528	0.6848484148294759	0.5924169841528308	0.8666029736525956	31.76571069437862
11	1.4253292908223814	-0.2581293160750229	-0.49882412402590315	0.7224108531639003	1.0436266986340679	0.5628019397092316	-3.1932410279272867	1.0815092313048789	-1.1532175005754848	-0.16699453989778645	-0.16698830687870744	0.011686874132668723	0.05930430254412036	0.011707323444572315	0.05943337693006523	1.0442802934150273	-1.5650880792658417	0.17797413251170305	-0.4574085555753125	1.3272582648859392	-0.9037019218845241	-1.303804106157312	0.6957015952613083	0.8821377979592152	-0.4019823443363247	-0.11311670880812405	-0.10269898831827182	0.5014802035756406	0.6785533414311614	27.25238964486186
