Started analysis of TSC_IgG_10k_rep1.R1_cut.fqStarted analysis of TSC_Cdx2_5k_rep1.R1_cut.fq

Started analysis of TSC_Cdx2_1k_rep2.R1_cut.fqStarted analysis of TSC_Cdx2_1k_rep1.R2_cut.fq

Started analysis of TSC_Cdx2_5k_rep1.R2_cut.fq
Started analysis of TSC_IgG_10k_rep1.R2_cut.fq
Started analysis of TSC_IgG_1k_rep1.R1_cut.fqStarted analysis of TSC_IgG_1k_rep2.R2_cut.fqStarted analysis of TSC_Cdx2_100k_rep1.R2_cut.fq
Started analysis of TSC_Cdx2_10k_rep1.R1_cut.fqStarted analysis of TSC_IgG_1k_rep1.R2_cut.fq

Started analysis of TSC_IgG_1k_rep2.R1_cut.fq


Started analysis of TSC_Cdx2_1k_rep1.R1_cut.fq
Started analysis of TSC_Cdx2_100k_rep1.R1_cut.fq
Started analysis of TSC_Cdx2_10k_rep1.R2_cut.fq
Started analysis of TSC_Cdx2_1k_rep2.R2_cut.fq
Approx 5% complete for TSC_Cdx2_1k_rep1.R2_cut.fq
Approx 5% complete for TSC_IgG_10k_rep1.R2_cut.fq
Approx 5% complete for TSC_Cdx2_1k_rep1.R1_cut.fq
Approx 5% complete for TSC_IgG_1k_rep2.R1_cut.fq
Approx 5% complete for TSC_IgG_10k_rep1.R1_cut.fq
Approx 5% complete for TSC_Cdx2_1k_rep2.R1_cut.fq
Approx 5% complete for TSC_Cdx2_1k_rep2.R2_cut.fq
Approx 5% complete for TSC_IgG_1k_rep2.R2_cut.fq
Approx 5% complete for TSC_Cdx2_100k_rep1.R2_cut.fq
Approx 5% complete for TSC_Cdx2_100k_rep1.R1_cut.fq
Approx 5% complete for TSC_Cdx2_5k_rep1.R1_cut.fq
Approx 5% complete for TSC_Cdx2_10k_rep1.R1_cut.fq
Approx 5% complete for TSC_IgG_1k_rep1.R1_cut.fq
Approx 5% complete for TSC_IgG_1k_rep1.R2_cut.fq
Approx 5% complete for TSC_Cdx2_10k_rep1.R2_cut.fq
Approx 5% complete for TSC_Cdx2_5k_rep1.R2_cut.fq
Approx 10% complete for TSC_Cdx2_1k_rep1.R2_cut.fq
Approx 10% complete for TSC_Cdx2_1k_rep1.R1_cut.fq
Approx 10% complete for TSC_IgG_10k_rep1.R2_cut.fq
Approx 10% complete for TSC_IgG_1k_rep2.R1_cut.fq
Approx 10% complete for TSC_IgG_1k_rep2.R2_cut.fq
Approx 10% complete for TSC_IgG_10k_rep1.R1_cut.fq
Approx 10% complete for TSC_Cdx2_1k_rep2.R1_cut.fq
Approx 10% complete for TSC_Cdx2_1k_rep2.R2_cut.fq
Approx 10% complete for TSC_Cdx2_100k_rep1.R2_cut.fq
Approx 10% complete for TSC_Cdx2_100k_rep1.R1_cut.fq
Approx 10% complete for TSC_Cdx2_5k_rep1.R1_cut.fq
Approx 10% complete for TSC_Cdx2_10k_rep1.R1_cut.fq
Approx 10% complete for TSC_IgG_1k_rep1.R1_cut.fq
Approx 10% complete for TSC_Cdx2_10k_rep1.R2_cut.fq
Approx 10% complete for TSC_IgG_1k_rep1.R2_cut.fq
Approx 15% complete for TSC_Cdx2_1k_rep1.R2_cut.fq
Approx 10% complete for TSC_Cdx2_5k_rep1.R2_cut.fq
Approx 15% complete for TSC_Cdx2_1k_rep1.R1_cut.fq
Approx 15% complete for TSC_IgG_10k_rep1.R2_cut.fq
Approx 15% complete for TSC_IgG_1k_rep2.R2_cut.fq
Approx 15% complete for TSC_IgG_1k_rep2.R1_cut.fq
Approx 15% complete for TSC_IgG_10k_rep1.R1_cut.fq
Approx 15% complete for TSC_Cdx2_1k_rep2.R2_cut.fq
Approx 15% complete for TSC_Cdx2_1k_rep2.R1_cut.fq
Approx 15% complete for TSC_Cdx2_100k_rep1.R2_cut.fq
Approx 15% complete for TSC_Cdx2_100k_rep1.R1_cut.fq
Approx 20% complete for TSC_Cdx2_1k_rep1.R2_cut.fq
Approx 15% complete for TSC_Cdx2_5k_rep1.R1_cut.fq
Approx 15% complete for TSC_Cdx2_10k_rep1.R1_cut.fq
Approx 20% complete for TSC_Cdx2_1k_rep1.R1_cut.fq
Approx 15% complete for TSC_IgG_1k_rep1.R1_cut.fq
Approx 15% complete for TSC_Cdx2_10k_rep1.R2_cut.fq
Approx 20% complete for TSC_IgG_10k_rep1.R2_cut.fq
Approx 15% complete for TSC_IgG_1k_rep1.R2_cut.fq
