Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
midBlast_Ctrl_rep1.R1	56.04359688776236	53.0	150.0	27.27272727272727	21929899.0
midBlast_Ctrl_rep1.R2	50.63226077758096	55.0	150.0	27.27272727272727	21929899.0
midBlast_Ctrl_rep2.R1	56.33943216870376	52.0	150.0	27.27272727272727	26289632.0
midBlast_Ctrl_rep2.R2	50.82662389096658	54.0	150.0	27.27272727272727	26289632.0
midBlast_Ctrl_rep3.R1	56.63961674873552	52.0	150.0	27.27272727272727	26037808.0
midBlast_Ctrl_rep3.R2	51.414357275554515	54.0	150.0	27.27272727272727	26037808.0
midBlast_siTfap2c_rep1.R1	51.78558253363425	51.0	150.0	18.181818181818183	21900288.0
midBlast_siTfap2c_rep1.R2	38.72369454464726	53.0	150.0	18.181818181818183	21900288.0
midBlast_siTfap2c_rep2.R1	51.435527674356614	51.0	150.0	18.181818181818183	24925312.0
midBlast_siTfap2c_rep2.R2	47.02669207226745	53.0	150.0	18.181818181818183	24925312.0
midBlast_siTfap2c_rep3.R1	48.548524043619764	49.0	150.0	18.181818181818183	21051650.0
midBlast_siTfap2c_rep3.R2	45.21693961339154	51.0	150.0	18.181818181818183	21051650.0
