Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
8Cell_Ctrl_H3K4me3_rep1.R1	8Cell_Ctrl_H3K4me3_rep1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35521396.0	0.0	150.0	57.0	47.123367527423284	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
8Cell_Ctrl_H3K4me3_rep1.R2	8Cell_Ctrl_H3K4me3_rep1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35521396.0	0.0	150.0	58.0	48.24875906626987	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
8Cell_Ctrl_H3K4me3_rep2.R1	8Cell_Ctrl_H3K4me3_rep2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32330685.0	0.0	150.0	59.0	43.2028197712739	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
8Cell_Ctrl_H3K4me3_rep2.R2	8Cell_Ctrl_H3K4me3_rep2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32330685.0	0.0	150.0	62.0	45.53087818205904	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8Cell_Ctrl_input.R1	8Cell_Ctrl_input.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21573563.0	0.0	150.0	48.0	72.50445669617808	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	fail	fail
8Cell_Ctrl_input.R2	8Cell_Ctrl_input.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21573563.0	0.0	150.0	51.0	73.39742009419683	150.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	fail
8Cell_siTfap2c_H3K4me3_rep1.R1	8Cell_siTfap2c_H3K4me3_rep1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26792845.0	0.0	150.0	57.0	50.01404075363821	150.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
8Cell_siTfap2c_H3K4me3_rep1.R2	8Cell_siTfap2c_H3K4me3_rep1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26792845.0	0.0	150.0	60.0	52.037749776047846	150.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
8Cell_siTfap2c_H3K4me3_rep2.R1	8Cell_siTfap2c_H3K4me3_rep2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25014695.0	0.0	150.0	56.0	49.04002779949863	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
8Cell_siTfap2c_H3K4me3_rep2.R2	8Cell_siTfap2c_H3K4me3_rep2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25014695.0	0.0	150.0	58.0	51.64357987207614	150.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	fail	fail
8Cell_siTfap2c_input.R1	8Cell_siTfap2c_input.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26481659.0	0.0	150.0	48.0	67.63999598569738	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
8Cell_siTfap2c_input.R2	8Cell_siTfap2c_input.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26481659.0	0.0	150.0	50.0	69.4909292414696	150.0	pass	pass	warn	pass	fail	fail	pass	pass	warn	fail	fail
